ComponentID	Component	Count
1	一	2714
2	｜	1640
3	丶	1021
4	ノ	1870
5	乙	319
6	亅	351
7	二	1052
8	亠	760
9	人	481
10	化	575
11	个	525
12	儿	643
13	入	45
14	ハ	1127
15	并	795
16	冂	727
17	冖	492
18	冫	259
19	几	208
20	凵	210
21	刀	204
22	刈	187
23	力	175
24	勹	587
25	匕	477
26	匚	176
27	十	877
28	卜	279
29	卩	131
30	厂	417
31	厶	572
32	又	480
33	マ	98
34	九	63
35	ユ	43
36	乃	41
37	乞	380
38	込	239
39	口	2836
40	囗	188
41	土	939
42	士	204
43	夂	274
44	夕	169
45	大	688
46	女	375
47	子	143
48	宀	427
49	寸	228
50	小	682
51	尚	170
52	尢	40
53	尸	289
54	屮	45
55	山	324
56	川	37
57	巛	64
58	工	172
59	已	136
60	巾	184
61	干	142
62	幺	519
63	广	237
64	廴	41
65	廾	285
66	弋	54
67	弓	147
68	ヨ	296
69	彑	28
70	彡	175
71	彳	129
72	忙	261
73	扎	440
74	汁	659
75	犯	123
76	艾	823
77	邦	144
78	阡	135
79	也	34
80	亡	35
81	及	17
82	久	8
83	老	82
84	心	325
85	戈	267
86	戸	72
87	手	52
88	支	56
89	攵	218
90	文	34
91	斗	27
92	斤	128
93	方	131
94	无	21
95	日	1329
96	曰	140
97	月	667
98	木	1226
99	欠	100
100	止	348
101	歹	57
102	殳	97
103	比	122
104	毛	19
105	氏	93
106	气	17
107	水	130
108	火	246
109	杰	633
110	爪	181
111	父	40
112	爻	38
113	爿	75
114	片	30
115	牛	93
116	犬	65
117	礼	76
118	王	458
119	元	42
120	井	21
121	勿	82
122	尤	19
123	五	25
124	屯	24
125	巴	53
126	毋	34
127	玄	41
128	瓦	19
129	甘	83
130	生	43
131	用	63
132	田	871
133	疋	80
134	疔	152
135	癶	34
136	白	197
137	皮	23
138	皿	171
139	目	819
140	矛	59
141	矢	93
142	石	186
143	示	92
144	禹	55
145	禾	258
146	穴	51
147	立	341
148	初	124
149	世	37
150	巨	9
151	冊	55
152	母	34
153	買	206
154	牙	31
155	瓜	25
156	竹	247
157	米	222
158	糸	381
159	缶	45
160	羊	119
161	羽	120
162	而	57
163	耒	26
164	耳	133
165	聿	49
166	肉	10
167	自	81
168	至	45
169	臼	126
170	舌	33
171	舟	59
172	艮	84
173	色	13
174	虍	110
175	虫	389
176	血	16
177	行	34
178	衣	169
179	西	93
180	臣	68
181	見	70
182	角	43
183	言	351
184	谷	33
185	豆	135
186	豕	103
187	豸	30
188	貝	430
189	赤	21
190	走	39
191	足	161
192	身	28
193	車	184
194	辛	81
195	辰	38
196	酉	117
197	釆	33
198	里	101
199	舛	37
200	麦	4
201	金	445
202	長	70
203	門	132
204	隶	23
205	隹	255
206	雨	123
207	青	31
208	非	45
209	奄	16
210	岡	7
211	免	25
212	斉	5
213	面	12
214	革	91
215	韭	15
216	音	52
217	頁	124
218	風	29
219	飛	2
220	食	47
221	首	11
222	香	4
223	品	27
224	馬	131
225	骨	41
226	高	34
227	髟	51
228	鬥	6
229	鬯	2
230	鬲	22
231	鬼	38
232	竜	20
233	韋	35
234	魚	205
235	鳥	198
236	鹵	9
237	鹿	54
238	麻	21
239	亀	9
240	滴	12
241	黄	29
242	黒	38
243	黍	5
244	黹	3
245	無	15
246	歯	35
247	黽	12
248	鼎	5
249	鼓	11
250	鼠	20
251	鼻	17
252	齊	18
253	龠	12
