ComponentID	Component	Count
1	一	991
2	｜	646
3	丶	267
4	ノ	626
5	乙	65
6	亅	162
7	二	476
8	亠	452
9	人	242
10	化	285
11	个	246
12	儿	322
13	入	21
14	ハ	542
15	并	393
16	冂	260
17	冖	229
18	冫	127
19	几	106
20	凵	97
21	刀	118
22	刈	105
23	力	90
24	勹	252
25	匕	206
26	匚	67
27	十	418
28	卜	123
29	卩	81
30	厂	189
31	厶	241
32	又	242
33	マ	31
34	九	34
35	ユ	15
36	乃	13
37	乞	380
38	込	145
39	口	1337
40	囗	107
41	土	463
42	士	103
43	夂	134
44	夕	74
45	大	307
46	女	171
47	子	71
48	宀	220
49	寸	133
50	小	352
51	尚	106
52	尢	17
53	尸	160
54	屮	21
55	山	149
56	川	22
57	巛	31
58	工	92
59	已	59
60	巾	104
61	干	66
62	幺	264
63	广	122
64	廴	23
65	廾	103
66	弋	26
67	弓	72
68	ヨ	132
69	彑	12
70	彡	75
71	彳	69
72	忙	132
73	扎	225
74	汁	364
75	犯	57
76	艾	405
77	邦	46
78	阡	73
79	也	10
80	亡	21
81	及	7
82	久	7
83	老	47
84	心	161
85	戈	148
86	戸	38
87	手	30
88	支	18
89	攵	122
90	文	23
91	斗	15
92	斤	73
93	方	72
94	无	10
95	日	593
96	曰	13
97	月	312
98	木	601
99	欠	54
100	止	167
101	歹	31
102	殳	50
103	比	54
104	毛	18
105	氏	44
106	气	7
107	水	73
108	火	103
109	杰	318
110	爪	84
111	父	22
112	爻	16
113	爿	41
114	片	8
115	牛	51
116	犬	30
117	礼	37
118	王	218
119	元	15
120	井	20
121	勿	41
122	尤	10
123	五	14
124	屯	9
125	巴	19
126	毋	23
127	玄	13
128	瓦	19
129	甘	54
130	生	19
131	用	42
132	田	461
133	疋	43
134	疔	73
135	癶	25
136	白	106
137	皮	23
138	皿	90
139	目	385
140	矛	23
141	矢	51
142	石	79
143	示	46
144	禹	30
145	禾	132
146	穴	49
147	立	198
148	初	58
149	世	14
150	巨	9
151	冊	27
152	母	23
153	買	109
154	牙	14
155	瓜	11
156	竹	124
157	米	134
158	糸	207
159	缶	25
160	羊	78
161	羽	44
162	而	22
163	耒	13
164	耳	72
165	聿	26
166	肉	3
167	自	28
168	至	28
169	臼	61
170	舌	21
171	舟	30
172	艮	56
173	色	4
174	虍	45
175	虫	161
176	血	6
177	行	19
178	衣	97
179	西	49
180	臣	41
181	見	36
182	角	20
183	言	194
184	谷	22
185	豆	60
186	豕	50
187	豸	17
188	貝	219
189	赤	12
190	走	15
191	足	71
192	身	13
193	車	88
194	辛	60
195	辰	20
196	酉	58
197	釆	33
198	里	61
199	舛	15
200	麦	4
201	金	160
202	長	28
203	門	67
204	隶	19
205	隹	132
206	雨	65
207	青	17
208	非	24
209	奄	7
210	岡	6
211	免	13
212	斉	5
213	面	7
214	革	35
215	韭	15
216	音	32
217	頁	67
218	風	13
219	飛	2
220	食	47
221	首	4
222	香	3
223	品	27
224	馬	65
225	骨	16
226	高	15
227	髟	19
228	鬥	6
229	鬯	2
230	鬲	6
231	鬼	24
232	竜	4
233	韋	11
234	魚	81
235	鳥	89
236	鹵	5
237	鹿	19
238	麻	13
239	亀	8
240	滴	7
241	黄	11
242	黒	19
243	黍	5
244	黹	3
245	無	7
246	歯	17
247	黽	6
248	鼎	1
249	鼓	4
250	鼠	7
251	鼻	4
252	齊	14
253	龠	3
