ComponentID	Component	Count
1	一	374
2	｜	207
3	丶	96
4	ノ	219
5	乙	18
6	亅	60
7	二	164
8	亠	142
9	人	59
10	化	104
11	个	67
12	儿	83
13	入	3
14	ハ	166
15	并	125
16	冂	69
17	冖	59
18	冫	30
19	几	31
20	凵	18
21	刀	33
22	刈	39
23	力	33
24	勹	64
25	匕	47
26	匚	16
27	十	122
28	卜	29
29	卩	26
30	厂	52
31	厶	70
32	又	86
33	マ	12
34	九	15
35	ユ	6
36	乃	5
37	乞	113
38	込	54
39	口	346
40	囗	19
41	土	152
42	士	28
43	夂	45
44	夕	18
45	大	89
46	女	43
47	子	22
48	宀	70
49	寸	46
50	小	116
51	尚	37
52	尢	2
53	尸	55
54	屮	2
55	山	32
56	川	9
57	巛	2
58	工	19
59	已	19
60	巾	32
61	干	19
62	幺	83
63	广	36
64	廴	8
65	廾	34
66	弋	8
67	弓	15
68	ヨ	37
69	彑	1
70	彡	14
71	彳	29
72	忙	27
73	扎	81
74	汁	112
75	犯	14
76	艾	71
77	邦	13
78	阡	30
79	也	4
80	亡	9
81	及	4
82	久	2
83	老	14
84	心	62
85	戈	43
86	戸	15
87	手	13
88	支	6
89	攵	41
90	文	8
91	斗	5
92	斤	28
93	方	20
94	无	0
95	日	188
96	曰	0
97	月	86
98	木	147
99	欠	17
100	止	38
101	歹	9
102	殳	16
103	比	8
104	毛	3
105	氏	9
106	气	2
107	水	22
108	火	20
109	杰	42
110	爪	24
111	父	7
112	爻	1
113	爿	9
114	片	2
115	牛	16
116	犬	9
117	礼	13
118	王	61
119	元	5
120	井	10
121	勿	9
122	尤	1
123	五	3
124	屯	3
125	巴	3
126	毋	11
127	玄	5
128	瓦	1
129	甘	14
130	生	7
131	用	11
132	田	111
133	疋	14
134	疔	12
135	癶	8
136	白	25
137	皮	8
138	皿	17
139	目	118
140	矛	5
141	矢	19
142	石	18
143	示	19
144	禹	7
145	禾	38
146	穴	13
147	立	57
148	初	8
149	世	2
150	巨	3
151	冊	7
152	母	11
153	買	20
154	牙	6
155	瓜	2
156	竹	22
157	米	29
158	糸	67
159	缶	2
160	羊	23
161	羽	7
162	而	4
163	耒	4
164	耳	13
165	聿	7
166	肉	2
167	自	12
168	至	8
169	臼	2
170	舌	7
171	舟	9
172	艮	23
173	色	2
174	虍	8
175	虫	14
176	血	2
177	行	6
178	衣	35
179	西	11
180	臣	13
181	見	9
182	角	3
183	言	64
184	谷	7
185	豆	12
186	豕	14
187	豸	2
188	貝	70
189	赤	5
190	走	7
191	足	11
192	身	4
193	車	24
194	辛	12
195	辰	7
196	酉	15
197	釆	5
198	里	17
199	舛	4
200	麦	1
201	金	29
202	長	5
203	門	15
204	隶	6
205	隹	36
206	雨	16
207	青	7
208	非	7
209	奄	0
210	岡	3
211	免	4
212	斉	4
213	面	1
214	革	3
215	韭	0
216	音	15
217	頁	20
218	風	2
219	飛	1
220	食	10
221	首	2
222	香	1
223	品	6
224	馬	11
225	骨	3
226	高	2
227	髟	1
228	鬥	0
229	鬯	0
230	鬲	2
231	鬼	6
232	竜	2
233	韋	4
234	魚	4
235	鳥	4
236	鹵	0
237	鹿	1
238	麻	6
239	亀	1
240	滴	5
241	黄	2
242	黒	3
243	黍	0
244	黹	0
245	無	2
246	歯	2
247	黽	0
248	鼎	0
249	鼓	1
250	鼠	0
251	鼻	1
252	齊	0
253	龠	0
