ComponentID	Component	Count
1	一	199
2	｜	105
3	丶	49
4	ノ	117
5	乙	9
6	亅	42
7	二	92
8	亠	65
9	人	31
10	化	56
11	个	35
12	儿	38
13	入	2
14	ハ	87
15	并	59
16	冂	30
17	冖	32
18	冫	14
19	几	11
20	凵	6
21	刀	17
22	刈	22
23	力	21
24	勹	29
25	匕	15
26	匚	3
27	十	57
28	卜	7
29	卩	11
30	厂	31
31	厶	36
32	又	38
33	マ	7
34	九	8
35	ユ	3
36	乃	0
37	乞	63
38	込	25
39	口	185
40	囗	13
41	土	80
42	士	16
43	夂	26
44	夕	11
45	大	42
46	女	17
47	子	14
48	宀	40
49	寸	24
50	小	58
51	尚	19
52	尢	1
53	尸	18
54	屮	1
55	山	13
56	川	5
57	巛	1
58	工	10
59	已	10
60	巾	18
61	干	11
62	幺	42
63	广	18
64	廴	5
65	廾	17
66	弋	5
67	弓	8
68	ヨ	16
69	彑	0
70	彡	4
71	彳	16
72	忙	4
73	扎	22
74	汁	47
75	犯	2
76	艾	31
77	邦	5
78	阡	15
79	也	3
80	亡	3
81	及	2
82	久	1
83	老	10
84	心	28
85	戈	22
86	戸	3
87	手	7
88	支	4
89	攵	23
90	文	3
91	斗	3
92	斤	11
93	方	9
94	无	0
95	日	94
96	曰	0
97	月	40
98	木	82
99	欠	9
100	止	13
101	歹	4
102	殳	6
103	比	6
104	毛	1
105	氏	5
106	气	2
107	水	14
108	火	10
109	杰	18
110	爪	9
111	父	4
112	爻	0
113	爿	5
114	片	2
115	牛	9
116	犬	4
117	礼	7
118	王	36
119	元	3
120	井	7
121	勿	7
122	尤	1
123	五	2
124	屯	1
125	巴	2
126	毋	6
127	玄	1
128	瓦	0
129	甘	3
130	生	4
131	用	5
132	田	45
133	疋	6
134	疔	2
135	癶	5
136	白	18
137	皮	3
138	皿	8
139	目	64
140	矛	2
141	矢	10
142	石	7
143	示	11
144	禹	1
145	禾	20
146	穴	5
147	立	30
148	初	3
149	世	2
150	巨	0
151	冊	4
152	母	6
153	買	7
154	牙	1
155	瓜	0
156	竹	15
157	米	12
158	糸	36
159	缶	0
160	羊	13
161	羽	3
162	而	0
163	耒	2
164	耳	7
165	聿	5
166	肉	1
167	自	8
168	至	3
169	臼	2
170	舌	5
171	舟	2
172	艮	10
173	色	2
174	虍	1
175	虫	5
176	血	2
177	行	4
178	衣	11
179	西	5
180	臣	5
181	見	8
182	角	2
183	言	35
184	谷	4
185	豆	7
186	豕	5
187	豸	0
188	貝	38
189	赤	1
190	走	3
191	足	2
192	身	3
193	車	10
194	辛	5
195	辰	1
196	酉	4
197	釆	1
198	里	10
199	舛	0
200	麦	1
201	金	10
202	長	3
203	門	9
204	隶	3
205	隹	12
206	雨	4
207	青	6
208	非	4
209	奄	0
210	岡	2
211	免	2
212	斉	1
213	面	1
214	革	1
215	韭	0
216	音	11
217	頁	10
218	風	1
219	飛	1
220	食	6
221	首	2
222	香	1
223	品	3
224	馬	3
225	骨	1
226	高	1
227	髟	0
228	鬥	0
229	鬯	0
230	鬲	0
231	鬼	0
232	竜	0
233	韋	1
234	魚	2
235	鳥	3
236	鹵	0
237	鹿	1
238	麻	1
239	亀	1
240	滴	2
241	黄	2
242	黒	1
243	黍	0
244	黹	0
245	無	1
246	歯	1
247	黽	0
248	鼎	0
249	鼓	0
250	鼠	0
251	鼻	1
252	齊	0
253	龠	0
