ComponentID	Component	Count
1	一	354
2	｜	190
3	丶	91
4	ノ	212
5	乙	15
6	亅	58
7	二	153
8	亠	134
9	人	55
10	化	97
11	个	63
12	儿	79
13	入	3
14	ハ	156
15	并	122
16	冂	62
17	冖	55
18	冫	28
19	几	29
20	凵	14
21	刀	31
22	刈	38
23	力	33
24	勹	57
25	匕	42
26	匚	16
27	十	115
28	卜	27
29	卩	25
30	厂	49
31	厶	69
32	又	83
33	マ	12
34	九	13
35	ユ	6
36	乃	5
37	乞	111
38	込	52
39	口	331
40	囗	19
41	土	142
42	士	27
43	夂	44
44	夕	18
45	大	80
46	女	41
47	子	21
48	宀	67
49	寸	46
50	小	111
51	尚	34
52	尢	2
53	尸	49
54	屮	2
55	山	27
56	川	9
57	巛	2
58	工	19
59	已	18
60	巾	32
61	干	19
62	幺	81
63	广	34
64	廴	8
65	廾	32
66	弋	8
67	弓	15
68	ヨ	35
69	彑	1
70	彡	13
71	彳	29
72	忙	27
73	扎	71
74	汁	98
75	犯	12
76	艾	67
77	邦	13
78	阡	29
79	也	4
80	亡	8
81	及	4
82	久	2
83	老	14
84	心	60
85	戈	42
86	戸	13
87	手	13
88	支	5
89	攵	40
90	文	7
91	斗	5
92	斤	27
93	方	20
94	无	0
95	日	177
96	曰	0
97	月	80
98	木	134
99	欠	17
100	止	37
101	歹	9
102	殳	15
103	比	7
104	毛	3
105	氏	9
106	气	2
107	水	22
108	火	20
109	杰	39
110	爪	23
111	父	7
112	爻	1
113	爿	9
114	片	2
115	牛	16
116	犬	9
117	礼	13
118	王	59
119	元	4
120	井	10
121	勿	9
122	尤	1
123	五	3
124	屯	2
125	巴	2
126	毋	11
127	玄	5
128	瓦	0
129	甘	13
130	生	7
131	用	11
132	田	104
133	疋	14
134	疔	11
135	癶	9
136	白	25
137	皮	7
138	皿	16
139	目	113
140	矛	5
141	矢	18
142	石	17
143	示	18
144	禹	6
145	禾	37
146	穴	13
147	立	56
148	初	6
149	世	2
150	巨	3
151	冊	7
152	母	11
153	買	19
154	牙	6
155	瓜	2
156	竹	22
157	米	29
158	糸	65
159	缶	1
160	羊	22
161	羽	7
162	而	4
163	耒	4
164	耳	13
165	聿	7
166	肉	2
167	自	12
168	至	8
169	臼	1
170	舌	7
171	舟	9
172	艮	23
173	色	2
174	虍	8
175	虫	12
176	血	2
177	行	6
178	衣	31
179	西	10
180	臣	13
181	見	9
182	角	3
183	言	64
184	谷	7
185	豆	13
186	豕	12
187	豸	2
188	貝	66
189	赤	5
190	走	7
191	足	11
192	身	4
193	車	24
194	辛	12
195	辰	6
196	酉	14
197	釆	5
198	里	17
199	舛	4
200	麦	1
201	金	27
202	長	5
203	門	15
204	隶	6
205	隹	34
206	雨	15
207	青	7
208	非	6
209	奄	0
210	岡	3
211	免	4
212	斉	3
213	面	1
214	革	1
215	韭	0
216	音	15
217	頁	18
218	風	2
219	飛	1
220	食	10
221	首	2
222	香	1
223	品	5
224	馬	10
225	骨	3
226	高	2
227	髟	1
228	鬥	0
229	鬯	0
230	鬲	2
231	鬼	6
232	竜	1
233	韋	4
234	魚	4
235	鳥	4
236	鹵	0
237	鹿	1
238	麻	5
239	亀	0
240	滴	5
241	黄	2
242	黒	3
243	黍	0
244	黹	0
245	無	2
246	歯	2
247	黽	0
248	鼎	0
249	鼓	1
250	鼠	0
251	鼻	1
252	齊	0
253	龠	0
