i	Degree	Interconnections	CC	APL	SS
0	2713	3678828	1.00000	1.77713	3.00000
1	2848	3804224	0.93836	1.76594	3.00000
2	3189	4125349	0.81155	1.73789	3.00000
3	2425	2119836	0.72125	1.80099	3.00000
4	3463	5005695	0.83505	1.71526	3.00000
5	3463	5005695	0.83505	1.71526	3.00000
6	4419	6870411	0.70382	1.63661	3.00000
7	4255	6283848	0.69432	1.65019	3.00000
8	3416	4626984	0.79327	1.71913	3.00000
9	2932	3840753	0.89385	1.75903	3.00000
10	3682	5205085	0.76808	1.69724	3.00000
11	4419	6870411	0.70382	1.63661	3.00000
12	4803	7404405	0.64207	1.60502	3.00000
13	3406	4305447	0.74248	1.71995	3.00000
14	3151	4054010	0.81688	1.74101	3.00000
15	4419	6870411	0.70382	1.63661	3.00000
16	4635	6713757	0.62516	1.61884	3.00000
17	3326	4324418	0.78207	1.72661	3.00000
18	4803	7404405	0.64207	1.60502	3.00000
19	3476	5012066	0.82987	1.71419	3.00000
20	2667	2292931	0.64497	1.78091	3.00000
21	2816	3732172	0.94163	1.76865	3.00000
22	3474	4576693	0.75866	1.71444	3.00000
23	3964	5866020	0.74682	1.67404	3.00000
24	1016	310471	0.60213	1.91748	3.00000
25	4037	5724026	0.70262	1.66804	3.00000
26	6118	10962092	0.58584	1.49683	3.00000
27	3474	4576693	0.75866	1.71444	3.00000
28	4382	6295055	0.65582	1.63965	3.00000
29	1639	1342341	1.00000	1.86598	3.00000
30	2096	1808672	0.82379	1.82830	3.00000
31	4136	5163371	0.60382	1.65998	3.00000
32	4059	6045202	0.73402	1.66639	3.00000
33	2290	2047418	0.78119	1.81185	3.00000
34	1797	1413458	0.87591	1.85282	3.00000
35	3977	5716497	0.72303	1.67297	3.00000
36	3609	4378569	0.67253	1.70333	3.00000
37	4059	6045202	0.73402	1.66639	3.00000
38	5236	7763297	0.56645	1.56940	3.00000
39	1020	519690	1.00000	1.91773	3.00000
40	1051	524656	0.95085	1.91518	3.00000
41	4359	6393361	0.67311	1.64155	3.00000
42	1421	707404	0.70116	1.88392	3.00000
43	4282	5333580	0.58191	1.64780	3.00000
44	1869	1745646	1.00000	1.84681	3.00000
45	1020	519690	1.00000	1.91773	3.00000
46	3353	4508802	0.80233	1.72448	3.00000
47	2477	2423664	0.79036	1.79671	3.00000
48	4441	6886045	0.69845	1.63480	3.00000
49	2477	2423664	0.79036	1.79671	3.00000
50	1914	1769784	0.96670	1.84311	3.00000
51	3992	5881336	0.73830	1.67174	3.00000
52	2012	1157714	0.57226	1.83497	3.00000
53	4682	7092641	0.64724	1.61489	3.00000
54	4421	6542508	0.66962	1.63645	3.00000
55	3288	3192656	0.59081	1.72966	3.00000
56	3609	4378569	0.67253	1.70333	3.00000
57	4762	7193709	0.63459	1.60839	3.00000
58	3084	2854981	0.60054	1.74669	3.00000
59	5149	7900175	0.59608	1.57655	3.00000
60	4085	4214019	0.50518	1.66417	3.00000
61	318	50403	1.00000	1.97779	3.00000
62	318	50403	1.00000	1.97779	3.00000
63	752	189137	0.66981	1.93970	3.00000
64	62	1891	1.00000	2.04854	3.00000
65	4591	6473311	0.61438	1.62238	3.00000
66	2316	1839990	0.68637	1.80995	3.00000
67	636	125803	0.62300	1.94973	3.00000
68	824	220188	0.64938	1.93311	3.00000
69	3571	4686004	0.73515	1.70654	3.00000
70	3291	4383036	0.80962	1.72958	3.00000
71	3094	4235895	0.88527	1.74578	3.00000
72	618	98280	0.51549	1.95138	3.00000
73	4197	6058729	0.68808	1.65487	3.00000
74	1390	608291	0.63012	1.88671	3.00000
75	2330	1670516	0.61568	1.80864	3.00000
76	5805	8497191	0.50440	1.52250	3.00000
77	1280	457106	0.55843	1.89519	3.00000
