i	Degree	Interconnections	CC	APL	SS
0	990	489555	1.00000	1.84561	3.00000
1	1062	511156	0.90728	1.83412	3.00000
2	870	238812	0.63175	1.86560	3.00000
3	1660	909963	0.66084	1.73953	3.00000
4	1586	786927	0.62608	1.75134	3.00000
5	1332	655286	0.73923	1.79116	3.00000
6	1103	514790	0.84704	1.82751	3.00000
7	1431	732416	0.71583	1.77573	3.00000
8	1831	970064	0.57902	1.71262	3.00000
9	1322	585035	0.67000	1.79289	3.00000
10	1233	558972	0.73595	1.80705	3.00000
11	1660	909963	0.66084	1.73953	3.00000
12	1313	619885	0.71969	1.79430	3.00000
13	1831	970064	0.57902	1.71262	3.00000
14	1331	702418	0.79359	1.79163	3.00000
15	1136	373159	0.57883	1.82389	3.00000
16	1051	498999	0.90435	1.83601	3.00000
17	1340	626220	0.69803	1.79021	3.00000
18	1474	751995	0.69270	1.76881	3.00000
19	1586	805927	0.64120	1.75118	3.00000
20	1881	1000634	0.56592	1.70475	3.00000
21	874	298401	0.78218	1.86623	3.00000
22	1834	1206736	0.71793	1.71341	3.00000
23	1308	519817	0.60813	1.79698	3.00000
24	1834	1206736	0.71793	1.71341	3.00000
25	266	35245	1.00000	1.96931	3.00000
26	285	36281	0.89649	1.96601	3.00000
27	1651	810828	0.59529	1.74095	3.00000
28	462	63799	0.59910	1.93280	3.00000
29	1675	709509	0.50608	1.73780	3.00000
30	625	195000	1.00000	1.90715	3.00000
31	809	238987	0.73121	1.87724	3.00000
32	1660	909963	0.66084	1.73953	3.00000
33	648	198252	0.94573	1.90353	3.00000
34	768	158608	0.53852	1.88212	3.00000
35	1923	1021633	0.55283	1.69767	3.00000
36	1772	905295	0.57695	1.72191	3.00000
37	1276	406504	0.49973	1.80107	3.00000
38	1893	981276	0.54796	1.70271	3.00000
39	1241	378161	0.49149	1.80658	3.00000
40	2087	1134876	0.52136	1.67218	3.00000
41	1788	653998	0.40937	1.71955	3.00000
42	64	2016	1.00000	2.06390	3.00000
43	33	528	1.00000	2.14117	3.00000
44	1899	928038	0.51496	1.70145	3.00000
45	910	264087	0.63852	1.85993	3.00000
46	211	13786	0.62225	1.97812	3.00000
47	1394	902608	0.92964	1.78281	3.00000
48	205	9363	0.44778	1.98410	3.00000
49	2592	1359947	0.40499	1.59238	3.00000
50	750	161117	0.57363	1.88543	3.00000
51	631	87421	0.43982	1.90667	3.00000
52	161	12880	1.00000	2.00456	3.00000
53	1062	511156	0.90728	1.83412	3.00000
54	1086	514899	0.87396	1.83034	3.00000
55	1378	606496	0.63926	1.78423	3.00000
56	1474	680625	0.62696	1.76912	3.00000
57	2209	1505844	0.61747	1.65297	3.00000
58	475	112575	1.00000	1.93421	3.00000
59	619	145988	0.76325	1.90888	3.00000
60	1531	722473	0.61686	1.75984	3.00000
61	1107	518429	0.84687	1.82720	3.00000
62	13	78	1.00000	2.37394	3.00000
63	1935	1070113	0.57190	1.69610	3.00000
64	1775	895792	0.56896	1.72128	3.00000
65	1886	961702	0.54103	1.70381	3.00000
66	813	177925	0.53904	1.87472	3.00000
67	2319	1652388	0.61479	1.63566	3.00000
68	1332	655286	0.73923	1.79116	3.00000
69	1971	1172977	0.60418	1.69090	3.00000
70	451	101475	1.00000	1.93469	3.00000
71	463	102867	0.96180	1.93280	3.00000
72	549	112217	0.74599	1.91706	3.00000
73	455	101689	0.98455	1.93374	3.00000
74	1400	470783	0.48073	1.78155	3.00000
75	1595	626851	0.49311	1.74992	3.00000
76	2418	1649158	0.56436	1.61977	3.00000
77	1706	1046630	0.71965	1.73214	3.00000
78	1940	1154764	0.61397	1.69531	3.00000
79	1897	1122551	0.62421	1.70208	3.00000
80	2044	1179703	0.56501	1.67863	3.00000
81	1302	410875	0.48512	1.79635	3.00000
82	2861	1932262	0.47229	1.55005	3.00000
83	2834	1906043	0.47481	1.55414	3.00000
84	241	28920	1.00000	1.97970	3.00000
85	684	142489	0.61001	1.89613	3.00000
86	737	173367	0.63922	1.88684	3.00000
87	371	47072	0.68583	1.94869	3.00000
88	428	51872	0.56766	1.94035	3.00000
89	403	52194	0.64435	1.94193	3.00000
90	316	41973	0.84334	1.95971	3.00000
91	1096	527951	0.87983	1.82877	3.00000
92	752	203932	0.72220	1.88590	3.00000
93	882	258628	0.66567	1.86371	3.00000
94	241	28920	1.00000	1.97970	3.00000
95	517	77125	0.57821	1.92398	3.00000
96	353	44995	0.72423	1.95074	3.00000
97	377	49082	0.69251	1.94775	3.00000
98	293	40472	0.94609	1.96585	3.00000
99	1807	868144	0.53204	1.71640	3.00000
100	399	52699	0.66371	1.94240	3.00000
101	429	56278	0.61301	1.93783	3.00000
102	640	97035	0.47455	1.90258	3.00000
103	1253	398299	0.50779	1.80485	3.00000
104	303	40788	0.89148	1.96427	3.00000
105	1158	539367	0.80514	1.81901	3.00000
106	1102	347081	0.57213	1.82908	3.00000
107	640	97035	0.47455	1.90258	3.00000
108	688	101379	0.42898	1.89440	3.00000
109	362	45842	0.70158	1.95042	3.00000
110	2046	1286636	0.61502	1.67894	3.00000
111	333	43153	0.78065	1.95436	3.00000
112	832	156835	0.45368	1.87158	3.00000
113	1161	323555	0.48049	1.81870	3.00000
114	407	56104	0.67905	1.94319	3.00000
115	809	171979	0.52619	1.87472	3.00000
116	996	298551	0.60251	1.84561	3.00000
117	297	40874	0.92988	1.96427	3.00000
118	903	185290	0.45498	1.86025	3.00000
119	310	41473	0.86592	1.95971	3.00000
120	427	56074	0.61653	1.93941	3.00000
121	867	240857	0.64158	1.86512	3.00000
122	920	231644	0.54796	1.85977	3.00000
123	704	145147	0.58656	1.89298	3.00000
124	946	226239	0.50614	1.85316	3.00000
125	382	47585	0.65390	1.94539	3.00000
126	1855	1095381	0.63700	1.70884	3.00000
127	1865	747725	0.43018	1.70727	3.00000
128	1398	616359	0.63119	1.78093	3.00000
129	1687	656175	0.46140	1.73544	3.00000
130	2335	1560686	0.57274	1.63299	3.00000
131	756	130151	0.45605	1.88417	3.00000
132	1642	980655	0.72789	1.74252	3.00000
133	730	162357	0.61017	1.88747	3.00000
134	1681	793371	0.56186	1.73639	3.00000
135	1475	646287	0.59452	1.76849	3.00000
136	473	67066	0.60080	1.93012	3.00000
137	1276	571495	0.70256	1.80013	3.00000
138	729	118045	0.44486	1.88794	3.00000
139	1707	826583	0.56768	1.73214	3.00000
140	2617	1783005	0.52088	1.58861	3.00000
141	1736	831526	0.55215	1.72757	3.00000
142	2335	1560686	0.57274	1.63299	3.00000
143	676	104730	0.45904	1.89613	3.00000
144	2067	1038235	0.48624	1.67501	3.00000
145	1533	546234	0.46517	1.75968	3.00000
146	1409	551840	0.55633	1.77998	3.00000
147	2118	1096309	0.48901	1.66698	3.00000
148	1774	1026456	0.65269	1.72175	3.00000
149	897	205698	0.51187	1.86103	3.00000
150	1415	607545	0.60730	1.77825	3.00000
151	799	162160	0.50866	1.87646	3.00000
152	1325	577349	0.65821	1.79257	3.00000
153	733	163279	0.60862	1.88732	3.00000
154	2412	1311984	0.45122	1.62071	3.00000
155	1628	979157	0.73933	1.74473	3.00000
156	709	116323	0.46346	1.89078	3.00000
157	717	159413	0.62104	1.88983	3.00000
158	2617	1783005	0.52088	1.58861	3.00000
159	1599	972131	0.76090	1.74945	3.00000
160	2552	1395863	0.42883	1.59868	3.00000
161	350	44157	0.72300	1.95027	3.00000
162	409	51450	0.61664	1.94208	3.00000
163	824	180578	0.53256	1.87252	3.00000
164	1847	728998	0.42762	1.70995	3.00000
165	1872	902657	0.51543	1.70617	3.00000
166	1332	619653	0.69903	1.79116	3.00000
167	1111	314524	0.51009	1.82657	3.00000
168	2134	1122658	0.49328	1.66462	3.00000
169	752	167028	0.59151	1.88417	3.00000
170	1625	546364	0.41407	1.74520	3.00000
171	330	42577	0.78432	1.95546	3.00000
172	467	61339	0.56372	1.93185	3.00000
173	685	109391	0.46694	1.89597	3.00000
174	647	123587	0.59138	1.90148	3.00000
175	647	124191	0.59427	1.90148	3.00000
176	841	132003	0.37371	1.86969	3.00000
177	2080	1276550	0.59040	1.67359	3.00000
178	2532	1357439	0.42364	1.60198	3.00000
179	1209	370336	0.50715	1.81083	3.00000
180	1662	992347	0.71894	1.73953	3.00000
181	580	81225	0.48374	1.91171	3.00000
182	892	163698	0.41194	1.86135	3.00000
183	615	118101	0.62552	1.90793	3.00000
184	505	64160	0.50416	1.92556	3.00000
185	344	43441	0.73634	1.95294	3.00000
186	319	42154	0.83110	1.95971	3.00000
187	2116	1261360	0.56369	1.66777	3.00000
188	426	50960	0.56294	1.93752	3.00000
189	341	43928	0.75777	1.95735	3.00000
190	818	148561	0.44459	1.87331	3.00000
191	2049	1218780	0.58088	1.67831	3.00000
192	854	168410	0.46237	1.86827	3.00000
193	475	65282	0.57990	1.92997	3.00000
194	2697	1798525	0.49470	1.57586	3.00000
195	1717	706240	0.47940	1.73088	3.00000
196	370	46069	0.67486	1.94948	3.00000
197	1286	406833	0.49238	1.79871	3.00000
198	508	64939	0.50427	1.92304	3.00000
199	307	40740	0.86734	1.96223	3.00000
200	1538	491736	0.41604	1.75873	3.00000
201	955	173346	0.38053	1.85127	3.00000
202	2061	1049115	0.49421	1.67611	3.00000
203	633	104991	0.52488	1.90337	3.00000
204	1618	567172	0.43357	1.74614	3.00000
205	1255	353740	0.44954	1.80359	3.00000
206	1285	429778	0.52096	1.79918	3.00000
207	2547	1752606	0.54054	1.59978	3.00000
208	1907	1108679	0.61005	1.70050	3.00000
209	1712	1009794	0.68946	1.73151	3.00000
210	1124	333869	0.52901	1.82499	3.00000
211	349	44694	0.73599	1.95310	3.00000
212	1015	229592	0.44615	1.84215	3.00000
213	1142	346539	0.53190	1.82200	3.00000
214	1154	311669	0.46848	1.81980	3.00000
215	1220	393563	0.52927	1.80941	3.00000
216	2542	1668163	0.51652	1.60041	3.00000
217	1350	437187	0.48012	1.78879	3.00000
218	858	235047	0.63932	1.86701	3.00000
219	679	127961	0.55591	1.89629	3.00000
220	2153	1101001	0.47526	1.66179	3.00000
221	847	150209	0.41925	1.86890	3.00000
222	1747	595138	0.39022	1.72568	3.00000
223	1956	1132529	0.59233	1.69295	3.00000
224	1666	548179	0.39524	1.73859	3.00000
225	649	106872	0.50825	1.90022	3.00000
226	1749	856202	0.56011	1.72521	3.00000
227	1328	393794	0.44692	1.79273	3.00000
228	572	75205	0.46052	1.91313	3.00000
229	1761	847959	0.54718	1.72332	3.00000
230	2498	1641962	0.52648	1.60718	3.00000
231	1078	277101	0.47735	1.83192	3.00000
232	1120	329180	0.52531	1.82546	3.00000
233	2403	1188581	0.41184	1.62244	3.00000
234	1579	967586	0.77666	1.75260	3.00000
235	1848	908846	0.53254	1.70963	3.00000
236	1400	365637	0.37337	1.78030	3.00000
237	429	50301	0.54791	1.93736	3.00000
238	871	236339	0.62378	1.86497	3.00000
239	2140	1217418	0.53192	1.66352	3.00000
240	2740	1780786	0.47457	1.56893	3.00000
241	327	42008	0.78813	1.95625	3.00000
242	707	111972	0.44866	1.89172	3.00000
