i	Degree	Interconnections	CC	APL	SS
0	373	69378	1.00000	1.81926	3.00000
1	389	71387	0.94595	1.80999	3.00000
2	276	26206	0.69054	1.87024	3.00000
3	579	112213	0.67060	1.70700	3.00000
4	567	101760	0.63417	1.71215	3.00000
5	482	87592	0.75562	1.76056	3.00000
6	397	70923	0.90226	1.80639	3.00000
7	492	91419	0.75687	1.75386	3.00000
8	640	119083	0.58237	1.67456	3.00000
9	450	76132	0.75360	1.77909	3.00000
10	462	81194	0.76245	1.77034	3.00000
11	469	89548	0.81596	1.76622	3.00000
12	394	70321	0.90829	1.80742	3.00000
13	447	78836	0.79088	1.78012	3.00000
14	524	96116	0.70144	1.73687	3.00000
15	640	119612	0.58496	1.67559	3.00000
16	517	91788	0.68814	1.74150	3.00000
17	104	4651	0.86837	1.99125	3.00000
18	580	103490	0.61634	1.70443	3.00000
19	146	6752	0.63788	1.95520	3.00000
20	221	23673	0.97380	1.90577	3.00000
21	431	45091	0.48660	1.78579	3.00000
22	700	131985	0.53948	1.64418	3.00000
23	17	136	1.00000	2.21627	4.00000
24	14	91	1.00000	2.38311	4.00000
25	362	60145	0.92048	1.82492	3.00000
26	59	686	0.40094	2.03553	3.00000
27	826	147753	0.43364	1.57724	3.00000
28	389	71387	0.94595	1.80999	3.00000
29	398	71700	0.90756	1.80484	3.00000
30	465	78339	0.72617	1.76880	3.00000
31	673	139467	0.61676	1.65860	3.00000
32	163	13203	1.00000	1.94387	3.00000
33	401	71515	0.89171	1.80278	3.00000
34	2	1	1.00000	2.79042	4.00000
35	665	128212	0.58072	1.66169	3.00000
36	717	154869	0.60334	1.63388	3.00000
37	145	9955	0.95354	1.94851	3.00000
38	142	9875	0.98641	1.95108	3.00000
39	472	73846	0.66435	1.76313	3.00000
40	548	84674	0.56495	1.72194	3.00000
41	538	82415	0.57053	1.72812	3.00000
42	58	1653	1.00000	2.06746	4.00000
43	257	21305	0.64765	1.88723	3.00000
44	405	73263	0.89553	1.80124	3.00000
45	218	17926	0.75787	1.90886	3.00000
46	168	8399	0.59873	1.93872	3.00000
47	128	5870	0.72219	1.97992	3.00000
48	106	5297	0.95184	2.00257	3.00000
49	143	6589	0.64897	1.96550	3.00000
50	133	6197	0.70597	1.97322	3.00000
51	108	5318	0.92039	2.00154	3.00000
52	424	74300	0.82854	1.79094	3.00000
53	343	34987	0.59651	1.83419	3.00000
54	230	11566	0.43919	1.89753	3.00000
55	128	5881	0.72355	1.96550	3.00000
56	591	100804	0.57819	1.69979	3.00000
57	118	5640	0.81704	1.98713	3.00000
58	385	37402	0.50598	1.80947	3.00000
59	102	3533	0.68589	1.99846	3.00000
60	111	5328	0.87273	1.99434	3.00000
61	143	6680	0.65793	1.96241	3.00000
62	246	18187	0.60352	1.89289	3.00000
63	285	23285	0.57536	1.87281	3.00000
64	313	25823	0.52886	1.85479	3.00000
65	124	5638	0.73931	1.98043	3.00000
66	597	76643	0.43081	1.69928	3.00000
67	495	58932	0.48200	1.75180	3.00000
68	721	146220	0.56334	1.63337	3.00000
69	244	14056	0.47413	1.89289	3.00000
70	585	100740	0.58974	1.70546	3.00000
71	156	7559	0.62523	1.94542	3.00000
72	462	78414	0.73634	1.77034	3.00000
73	243	13526	0.46002	1.89341	3.00000
74	595	104954	0.59392	1.69773	3.00000
75	568	95182	0.59109	1.71267	3.00000
76	721	146220	0.56334	1.63337	3.00000
77	695	123160	0.51069	1.64624	3.00000
78	719	129926	0.50335	1.63182	3.00000
79	250	18694	0.60061	1.88620	3.00000
80	806	151186	0.46603	1.58805	3.00000
81	820	170059	0.50644	1.57930	3.00000
82	144	6673	0.64812	1.97116	3.00000
83	280	20240	0.51818	1.86921	3.00000
84	715	129942	0.50907	1.63697	3.00000
85	250	18005	0.57847	1.88465	3.00000
86	113	5374	0.84924	1.98249	3.00000
87	210	12878	0.58683	1.90525	3.00000
88	209	12913	0.59408	1.90577	3.00000
89	266	13585	0.38544	1.88054	3.00000
90	816	148748	0.44734	1.58239	3.00000
91	418	44154	0.50663	1.79042	3.00000
92	458	70133	0.67015	1.77137	3.00000
93	276	15314	0.40353	1.87230	3.00000
94	589	94448	0.54542	1.70134	3.00000
95	554	85331	0.55706	1.72091	3.00000
96	166	8161	0.59591	1.94181	3.00000
97	406	42313	0.51466	1.79712	3.00000
98	109	5294	0.89942	1.99382	3.00000
99	494	50743	0.41671	1.74974	3.00000
100	682	121900	0.52493	1.65396	3.00000
101	792	166037	0.53007	1.59423	3.00000
102	534	79883	0.56133	1.73069	3.00000
103	469	71071	0.64760	1.76519	3.00000
104	335	24995	0.44678	1.83625	3.00000
105	392	40904	0.53374	1.80484	3.00000
106	440	48077	0.49779	1.78270	3.00000
107	219	13196	0.55280	1.90062	3.00000
108	714	125858	0.49445	1.63646	3.00000
109	598	105903	0.59328	1.69670	3.00000
110	755	151256	0.53140	1.61586	3.00000
111	433	68137	0.72852	1.78476	3.00000
112	623	108701	0.56103	1.68486	3.00000
113	853	167058	0.45974	1.56334	3.00000
114	115	5390	0.82227	1.99485	3.00000
115	335	29352	0.52466	1.83986	3.00000
116	327	28359	0.53205	1.84604	3.00000
117	332	22611	0.41151	1.84604	3.00000
118	562	61822	0.39217	1.71782	3.00000
119	443	36071	0.36844	1.78012	3.00000
120	261	18701	0.55116	1.88414	3.00000
121	236	14969	0.53981	1.89907	3.00000
122	229	11086	0.42465	1.89753	3.00000
123	168	7223	0.51490	1.94284	3.00000
124	623	75622	0.39030	1.68280	3.00000
125	832	145136	0.41984	1.57415	3.00000
126	342	29038	0.49798	1.83471	3.00000
127	777	141994	0.47100	1.60196	3.00000
128	764	149887	0.51425	1.61123	3.00000
129	430	40755	0.44186	1.79145	3.00000
130	458	44579	0.42597	1.77343	3.00000
131	465	46594	0.43191	1.76982	3.00000
132	628	101810	0.51712	1.68177	3.00000
133	377	32099	0.45289	1.81823	3.00000
134	120	5552	0.77759	1.99125	3.00000
135	663	102854	0.46868	1.66375	3.00000
136	609	91435	0.49388	1.69258	3.00000
137	239	18763	0.65972	1.89495	3.00000
138	409	64972	0.77870	1.79969	3.00000
139	268	18884	0.52781	1.87590	3.00000
140	106	3905	0.70171	1.98404	4.00000
141	423	45793	0.51307	1.79094	3.00000
142	482	80036	0.69044	1.75798	3.00000
143	498	76028	0.61435	1.75335	3.00000
144	811	166788	0.50780	1.58496	3.00000
145	414	48081	0.56241	1.79506	3.00000
