i	Degree	Interconnections	CC	APL	SS
0	401	80200	1.00000	1.82287	3.00000
1	418	82523	0.94688	1.81303	3.00000
2	315	33458	0.67653	1.86457	3.00000
3	640	135244	0.66140	1.70525	3.00000
4	619	121235	0.63384	1.71415	3.00000
5	522	102553	0.75417	1.76336	3.00000
6	429	82246	0.89587	1.80928	3.00000
7	537	107887	0.74965	1.75492	3.00000
8	703	143402	0.58116	1.67479	3.00000
9	487	88663	0.74922	1.78210	3.00000
10	506	96045	0.75173	1.77038	3.00000
11	510	105410	0.81213	1.76804	3.00000
12	424	81293	0.90652	1.81115	3.00000
13	483	91983	0.79021	1.78351	3.00000
14	569	113209	0.70057	1.73993	3.00000
15	699	142614	0.58460	1.67713	3.00000
16	569	112040	0.69333	1.74133	3.00000
17	569	112040	0.69333	1.74133	3.00000
18	115	5695	0.86880	1.98266	3.00000
19	632	123146	0.61760	1.70712	3.00000
20	168	8911	0.63523	1.94470	3.00000
21	613	96661	0.51531	1.71978	3.00000
22	248	29915	0.97672	1.90206	3.00000
23	474	55526	0.49532	1.78585	3.00000
24	777	160466	0.53227	1.64058	3.00000
25	23	253	1.00000	2.17057	4.00000
26	16	120	1.00000	2.36364	4.00000
27	687	131427	0.55774	1.68182	3.00000
28	404	74037	0.90948	1.82193	3.00000
29	72	1062	0.41549	2.01406	3.00000
30	918	181014	0.43006	1.57263	3.00000
31	207	11655	0.54664	1.92502	3.00000
32	418	82523	0.94688	1.81303	3.00000
33	428	82918	0.90742	1.80787	3.00000
34	504	91352	0.72069	1.77085	3.00000
35	737	166969	0.61563	1.65886	3.00000
36	180	16110	1.00000	1.94189	3.00000
37	434	83034	0.88371	1.80553	3.00000
38	2	1	1.00000	2.78538	4.00000
39	735	155164	0.57522	1.65933	3.00000
40	784	185706	0.60503	1.63590	3.00000
41	157	11722	0.95721	1.95033	3.00000
42	155	11680	0.97863	1.95127	3.00000
43	521	90410	0.66743	1.76195	3.00000
44	605	103841	0.56834	1.72071	3.00000
45	593	100631	0.57330	1.72727	3.00000
46	64	2016	1.00000	2.05951	4.00000
47	278	25228	0.65522	1.88707	3.00000
48	435	84639	0.89665	1.80553	3.00000
49	240	21963	0.76579	1.90815	3.00000
50	181	9717	0.59650	1.93768	3.00000
51	135	6574	0.72681	1.97844	3.00000
52	112	5936	0.95495	2.00047	3.00000
53	151	7361	0.64998	1.96251	3.00000
54	143	7046	0.69398	1.97188	3.00000
55	115	5961	0.90938	1.99485	3.00000
56	457	85877	0.82419	1.79475	3.00000
57	378	43189	0.60614	1.83271	3.00000
58	245	13170	0.44062	1.89972	3.00000
59	137	6635	0.71222	1.96626	3.00000
60	646	122224	0.58667	1.70197	3.00000
61	124	6297	0.82573	1.98641	3.00000
62	427	46548	0.51179	1.80787	3.00000
63	111	4180	0.68468	1.99625	3.00000
