i	Degree	Interconnections	CC	APL	SS
0	74	2701	1.00000	1.92148	4.00000
1	76	2721	0.95474	1.91686	4.00000
2	46	745	0.71981	2.01386	4.00000
3	114	4165	0.64664	1.80600	4.00000
4	94	3266	0.74720	1.86605	4.00000
5	77	2747	0.93882	1.90993	4.00000
6	97	3507	0.75322	1.84988	4.00000
7	95	3466	0.77626	1.85912	4.00000
8	108	3743	0.64780	1.81524	4.00000
9	100	3395	0.68586	1.85912	4.00000
10	20	155	0.81579	2.34873	5.00000
11	29	286	0.70443	2.29330	5.00000
12	136	4700	0.51198	1.73903	4.00000
13	2	1	1.00000	3.04619	5.00000
14	77	2723	0.93062	1.91224	4.00000
15	133	5211	0.59364	1.75289	4.00000
16	29	406	1.00000	2.14088	4.00000
17	1	0	    NaN	2.93072	5.00000
18	23	232	0.91700	2.21940	4.00000
19	106	2999	0.53890	1.84988	4.00000
20	6	15	1.00000	2.62356	5.00000
21	82	2839	0.85486	1.90069	4.00000
22	20	117	0.61579	2.24480	4.00000
23	17	106	0.77941	2.28176	4.00000
24	16	105	0.87500	2.33718	4.00000
25	47	690	0.63830	2.03002	4.00000
26	49	678	0.57653	2.06236	4.00000
27	44	422	0.44609	2.13626	4.00000
28	112	3627	0.58349	1.81062	4.00000
29	137	5312	0.57020	1.75058	4.00000
30	141	4710	0.47720	1.73210	4.00000
31	151	5872	0.51850	1.70439	4.00000
32	66	1091	0.50862	1.94457	4.00000
33	91	2633	0.64298	1.87991	4.00000
34	42	556	0.64576	2.06236	4.00000
35	83	2524	0.74170	1.91224	4.00000
36	79	1309	0.42486	1.89838	4.00000
37	92	2950	0.70473	1.86374	4.00000
38	52	639	0.48190	2.05774	4.00000
39	26	325	1.00000	2.18014	4.00000
40	39	451	0.60864	2.10162	4.00000
41	45	607	0.61313	2.06236	4.00000
42	110	3624	0.60450	1.82448	4.00000
43	16	85	0.70833	2.29330	4.00000
44	120	4101	0.57437	1.78522	4.00000
45	88	2835	0.74060	1.87067	4.00000
46	29	204	0.50246	2.15935	4.00000
47	43	728	0.80620	2.06697	4.00000
48	3	3	1.00000	2.75058	5.00000
49	29	337	0.83005	2.16628	4.00000
50	9	19	0.52778	2.53349	5.00000
51	3	2	0.66667	2.74596	5.00000
52	107	3401	0.59972	1.82910	4.00000
53	5	10	1.00000	2.50115	5.00000
54	30	323	0.74253	2.19400	4.00000
55	28	166	0.43915	2.16859	4.00000
56	147	5011	0.46696	1.70670	4.00000
57	74	1037	0.38393	1.95612	4.00000
58	20	129	0.67895	2.27483	4.00000
59	6	15	1.00000	2.69053	5.00000
60	56	926	0.60130	1.99538	4.00000
61	27	332	0.94587	2.18014	4.00000
62	17	136	1.00000	2.32333	4.00000
63	53	925	0.67126	2.00462	4.00000
64	75	1353	0.48757	1.91455	4.00000
65	94	2042	0.46717	1.88222	4.00000
66	51	608	0.47686	2.11085	4.00000
67	33	223	0.42235	2.14781	4.00000
68	37	436	0.65465	2.15704	4.00000
69	107	3509	0.61876	1.82448	4.00000
70	18	105	0.68627	2.30023	4.00000
71	15	79	0.75238	2.50346	4.00000
72	21	114	0.54286	2.39954	4.00000
73	72	2357	0.92214	1.93995	4.00000
74	83	2596	0.76286	1.93072	4.00000
75	81	2500	0.77160	1.92148	4.00000
76	142	5750	0.57437	1.72517	4.00000
77	132	5248	0.60699	1.75982	4.00000
78	132	5291	0.61196	1.75982	4.00000
79	128	5194	0.63903	1.77136	4.00000
80	74	2385	0.88301	1.94688	4.00000
81	75	2469	0.88973	1.94688	4.00000
82	148	5799	0.53309	1.70439	4.00000
83	170	5584	0.38872	1.65127	3.00000
84	133	5296	0.60333	1.75751	4.00000
85	74	2397	0.88745	1.94919	4.00000
86	69	2346	1.00000	1.96305	4.00000
87	107	3236	0.57062	1.84988	4.00000
88	128	3501	0.43073	1.76443	4.00000
89	73	2377	0.90449	1.94919	4.00000
90	20	122	0.64211	2.24249	4.00000
91	72	2357	0.92214	1.93995	4.00000
92	6	10	0.66667	2.71594	5.00000
93	34	296	0.52763	2.17783	5.00000
94	96	2789	0.61162	1.86143	4.00000
95	26	325	1.00000	2.25866	4.00000
96	28	326	0.86243	2.23095	4.00000
97	43	449	0.49723	2.08083	4.00000
98	130	4178	0.49827	1.75289	4.00000
99	11	26	0.47273	2.39030	4.00000
100	25	156	0.52000	2.18938	4.00000
101	104	3271	0.61072	1.84296	4.00000
102	5	10	1.00000	2.67436	5.00000
103	9	20	0.55556	2.60739	5.00000
104	5	10	1.00000	2.67436	5.00000
105	42	404	0.46922	2.07390	4.00000
106	13	78	1.00000	2.33949	4.00000
107	99	3326	0.68563	1.85450	4.00000
108	30	261	0.60000	2.19861	4.00000
109	109	3557	0.60432	1.81062	4.00000
110	6	15	1.00000	2.50346	4.00000
111	122	2772	0.37556	1.77829	3.00000
112	29	257	0.63300	2.14319	4.00000
113	87	2557	0.68351	1.90069	4.00000
114	11	27	0.49091	2.37182	4.00000
115	4	6	1.00000	2.94457	4.00000
116	18	97	0.63399	2.29099	4.00000
117	15	45	0.42857	2.42032	4.00000
118	22	125	0.54113	2.20785	4.00000
119	20	114	0.60000	2.25635	4.00000
120	15	92	0.87619	2.28406	4.00000
121	32	218	0.43952	2.14088	4.00000
122	87	2551	0.68190	1.87991	4.00000
123	51	569	0.44627	2.06005	4.00000
124	112	3501	0.56322	1.79215	4.00000
125	14	91	1.00000	2.36490	4.00000
126	37	257	0.38589	2.15012	4.00000
127	127	3794	0.47419	1.76212	4.00000
128	29	344	0.84729	2.21478	4.00000
129	9	28	0.77778	2.68360	5.00000
130	18	153	1.00000	2.29330	4.00000
131	52	895	0.67496	1.99076	4.00000
132	75	2427	0.87459	1.93764	4.00000
133	43	466	0.51606	2.11316	4.00000
134	6	15	1.00000	2.65127	5.00000
135	75	2399	0.86450	1.93764	4.00000
136	17	55	0.40441	2.25404	4.00000
137	16	48	0.40000	2.46651	5.00000
138	2	1	1.00000	2.82448	5.00000
139	58	953	0.57653	2.02079	4.00000
140	3	3	1.00000	2.76443	5.00000
141	98	3410	0.71744	1.85219	4.00000
142	24	234	0.84783	2.19630	4.00000
143	20	63	0.33158	2.23788	4.00000
144	4	3	0.50000	3.01386	5.00000
145	25	247	0.82333	2.24018	4.00000
146	116	3835	0.57496	1.79677	4.00000
147	46	514	0.49662	2.09931	4.00000
148	17	88	0.64706	2.34180	4.00000
149	76	2424	0.85053	1.92148	4.00000
150	91	2834	0.69206	1.87298	4.00000
151	8	14	0.50000	2.52425	4.00000
152	21	143	0.68095	2.32564	5.00000
153	4	3	0.50000	2.74365	5.00000
154	5	10	1.00000	2.74827	5.00000
155	42	716	0.83159	2.06697	4.00000
156	93	2121	0.49579	1.86374	4.00000
157	10	20	0.44444	2.58891	5.00000
158	20	90	0.47368	2.29561	4.00000
159	10	27	0.60000	2.41801	4.00000
160	117	4032	0.59416	1.79908	4.00000
161	17	85	0.62500	2.46882	4.00000
162	32	350	0.70565	2.19630	4.00000
163	21	89	0.42381	2.15704	4.00000
164	8	28	1.00000	2.45727	4.00000
165	29	263	0.64778	2.23326	4.00000
166	23	95	0.37549	2.29561	4.00000
167	33	348	0.65909	2.20785	4.00000
168	148	5897	0.54210	1.71594	4.00000
169	8	28	1.00000	2.45727	4.00000
170	62	1004	0.53094	2.01617	4.00000
171	57	944	0.59148	2.01386	4.00000
172	107	3386	0.59707	1.81986	4.00000
173	78	2737	0.91142	1.90762	4.00000
174	80	2749	0.86994	1.90069	4.00000
175	97	3423	0.73518	1.85450	4.00000
176	14	60	0.65934	2.37413	4.00000
177	18	90	0.58824	2.31871	4.00000
178	136	5325	0.58007	1.74596	4.00000
179	33	360	0.68182	2.18938	4.00000
180	50	831	0.67837	2.03464	4.00000
181	28	332	0.87831	2.17783	4.00000
182	34	344	0.61319	2.13626	4.00000
183	44	427	0.45137	2.08083	4.00000
184	185	6926	0.40693	1.60970	4.00000
185	1	0	    NaN	3.68129	6.00000
186	78	1261	0.41991	1.92841	3.00000
187	4	6	1.00000	2.91917	5.00000
188	59	1091	0.63764	1.97229	4.00000
189	27	328	0.93447	2.18014	4.00000
190	40	780	1.00000	2.08545	4.00000
191	54	990	0.69182	2.03695	4.00000
192	51	913	0.71608	2.03233	4.00000
193	131	4561	0.53564	1.75289	4.00000
194	41	780	0.95122	2.08314	4.00000
195	131	4293	0.50417	1.75982	4.00000
196	112	3535	0.56869	1.81755	4.00000
197	125	3957	0.51058	1.76905	4.00000
198	67	1152	0.52103	1.95150	4.00000
199	111	2221	0.36380	1.80831	3.00000
200	42	786	0.91289	2.07159	4.00000
201	49	869	0.73895	2.03464	4.00000
202	49	830	0.70578	2.03002	3.00000
203	65	1499	0.72067	1.94919	4.00000
204	41	781	0.95244	2.08314	4.00000
205	13	78	1.00000	2.33256	4.00000
206	107	3624	0.63904	1.83141	4.00000
207	27	171	0.48718	2.21709	4.00000
208	64	1132	0.56151	1.99307	4.00000
209	39	460	0.62078	2.09007	4.00000
210	33	528	1.00000	2.09700	4.00000
211	102	3471	0.67385	1.83372	4.00000
212	41	562	0.68537	2.03464	4.00000
213	102	2199	0.42691	1.83372	3.00000
214	150	4991	0.44662	1.69746	4.00000
215	51	676	0.53020	2.00693	4.00000
216	33	528	1.00000	2.09700	4.00000
217	60	875	0.49435	1.99307	4.00000
218	51	794	0.62275	2.00924	3.00000
219	34	528	0.94118	2.09469	4.00000
220	33	528	1.00000	2.09700	4.00000
221	70	1164	0.48199	1.99307	4.00000
222	142	4678	0.46729	1.73210	4.00000
223	44	578	0.61099	2.04850	4.00000
224	67	1005	0.45455	1.98152	4.00000
225	144	3619	0.35150	1.71594	4.00000
226	136	4388	0.47800	1.72979	4.00000
227	7	11	0.52381	2.56351	5.00000
228	129	5170	0.62621	1.76443	4.00000
229	6	15	1.00000	2.52887	5.00000
230	79	2774	0.90036	1.90762	4.00000
231	58	978	0.59165	1.97460	4.00000
232	12	30	0.45455	2.39723	4.00000
233	86	2796	0.76498	1.89145	4.00000
234	2	1	1.00000	3.04157	5.00000
235	27	326	0.92877	2.18014	4.00000
236	75	1321	0.47604	1.91917	4.00000
237	6	15	1.00000	2.77367	4.00000
238	22	173	0.74892	2.30947	4.00000
239	21	172	0.81905	2.16166	4.00000
240	58	766	0.46340	2.00924	4.00000
241	44	542	0.57294	2.04850	4.00000
242	96	2083	0.45680	1.83603	4.00000
243	32	258	0.52016	2.11316	4.00000
244	46	486	0.46957	2.07390	4.00000
245	40	372	0.47692	2.08545	4.00000
246	51	595	0.46667	2.06005	4.00000
247	128	3930	0.48351	1.75520	4.00000
248	55	627	0.42222	1.99769	4.00000
249	45	543	0.54848	2.04619	4.00000
250	34	288	0.51337	2.12009	4.00000
251	73	1010	0.38432	1.90762	3.00000
252	59	1001	0.58504	1.98614	4.00000
253	48	576	0.51064	2.02771	4.00000
254	110	3077	0.51326	1.81755	4.00000
255	134	4565	0.51229	1.73903	4.00000
256	168	6259	0.44618	1.65358	4.00000
257	4	6	1.00000	3.03695	5.00000
258	17	52	0.38235	2.28868	4.00000
259	77	2412	0.82433	1.92841	4.00000
260	2	1	1.00000	3.00462	4.00000
261	1	0	    NaN	3.02309	5.00000
262	50	852	0.69551	2.02540	4.00000
263	30	261	0.60000	2.19861	4.00000
264	29	286	0.70443	2.29330	5.00000
265	17	136	1.00000	2.45727	5.00000
266	32	298	0.60081	2.24942	4.00000
267	23	155	0.61265	2.36721	5.00000
268	1	0	    NaN	3.08083	5.00000
269	1	0	    NaN	3.35797	5.00000
270	21	210	1.00000	2.28637	5.00000
271	79	1771	0.57481	1.89838	4.00000
272	79	1771	0.57481	1.89838	4.00000
273	26	234	0.72000	2.21709	5.00000
274	94	3127	0.71540	1.86374	4.00000
275	93	3111	0.72721	1.86605	4.00000
276	48	463	0.41046	2.05081	4.00000
277	25	216	0.72000	2.24942	5.00000
278	25	226	0.75333	2.24711	4.00000
279	86	2946	0.80602	1.88453	4.00000
280	43	565	0.62569	2.06005	4.00000
281	89	2750	0.70225	1.88684	4.00000
282	8	28	1.00000	2.65127	5.00000
283	82	2746	0.82686	1.89376	4.00000
284	13	78	1.00000	2.51501	4.00000
285	2	1	1.00000	2.98152	5.00000
286	25	300	1.00000	2.24711	4.00000
287	129	4373	0.52968	1.77136	4.00000
288	55	937	0.63098	2.03695	4.00000
289	42	479	0.55633	2.13626	4.00000
290	125	4029	0.51987	1.78522	4.00000
291	93	1749	0.40884	1.88453	4.00000
292	120	3909	0.54748	1.78753	4.00000
293	92	2810	0.67129	1.87529	4.00000
294	110	3244	0.54112	1.81986	4.00000
295	69	2346	1.00000	1.96305	4.00000
296	175	6898	0.45307	1.64203	4.00000
297	5	6	0.60000	2.51501	5.00000
298	29	336	0.82759	2.22171	4.00000
299	81	1778	0.54877	1.89376	4.00000
300	57	783	0.49060	2.00924	4.00000
301	145	5628	0.53908	1.72748	4.00000
302	9	16	0.44444	2.51732	4.00000
303	6	10	0.66667	2.57044	5.00000
304	56	914	0.59351	1.97229	4.00000
305	29	208	0.51232	2.15935	4.00000
306	30	213	0.48966	2.15704	4.00000
307	12	66	1.00000	2.45727	4.00000
308	62	1095	0.57906	1.99769	4.00000
309	18	89	0.58170	2.30485	4.00000
310	26	325	1.00000	2.18245	4.00000
311	103	2273	0.43271	1.83141	4.00000
312	31	348	0.74839	2.15473	4.00000
313	27	326	0.92877	2.18014	4.00000
314	55	709	0.47744	2.02309	4.00000
315	152	5776	0.50331	1.69515	4.00000
316	54	756	0.52830	2.03002	4.00000
317	79	1369	0.44434	1.94226	4.00000
318	4	6	1.00000	2.69053	4.00000
319	19	163	0.95322	2.28406	4.00000
320	19	163	0.95322	2.28406	4.00000
321	53	905	0.65675	1.98614	4.00000
322	39	384	0.51822	2.13857	4.00000
323	26	200	0.61538	2.15473	4.00000
324	113	3513	0.55515	1.82448	4.00000
325	67	913	0.41294	1.96998	4.00000
326	31	210	0.45161	2.15704	4.00000
327	31	211	0.45376	2.16628	4.00000
328	140	3225	0.33145	1.72748	4.00000
329	33	355	0.67235	2.20323	4.00000
330	44	479	0.50634	2.13164	4.00000
331	5	10	1.00000	2.84988	5.00000
332	12	38	0.57576	2.54734	5.00000
333	12	34	0.51515	2.40185	4.00000
334	42	786	0.91289	2.07159	4.00000
335	2	1	1.00000	3.32333	5.00000
336	6	7	0.46667	2.54273	5.00000
337	16	85	0.70833	2.29330	4.00000
338	45	480	0.48485	2.06928	4.00000
339	26	306	0.94154	2.23095	4.00000
340	90	2811	0.70187	1.89145	4.00000
341	8	28	1.00000	2.49192	5.00000
342	27	177	0.50427	2.21016	4.00000
343	87	2645	0.70703	1.91224	4.00000
344	51	765	0.60000	2.03002	4.00000
345	60	1070	0.60452	2.01386	4.00000
346	141	5394	0.54650	1.73672	4.00000
347	96	2712	0.59474	1.84065	4.00000
348	40	605	0.77564	2.06697	4.00000
349	79	1546	0.50179	1.90993	4.00000
350	2	1	1.00000	2.96998	5.00000
351	2	1	1.00000	2.98152	5.00000
352	3	3	1.00000	2.98383	5.00000
353	74	1123	0.41577	1.95150	3.00000
354	41	435	0.53049	2.09931	4.00000
355	77	1258	0.42994	1.93072	3.00000
356	59	1009	0.58971	1.97460	4.00000
357	8	28	1.00000	2.71132	4.00000
358	25	177	0.59000	2.21709	4.00000
359	11	33	0.60000	2.60046	4.00000
360	36	381	0.60476	2.18245	4.00000
361	75	2382	0.85838	1.93533	4.00000
362	76	2382	0.83579	1.93303	4.00000
363	33	194	0.36742	2.14550	4.00000
364	103	2912	0.55435	1.85450	4.00000
365	12	34	0.51515	2.61663	4.00000
366	96	2924	0.64123	1.87760	4.00000
367	87	2728	0.72922	1.89145	4.00000
368	43	640	0.70875	2.10624	4.00000
369	51	703	0.55137	2.07390	4.00000
370	43	640	0.70875	2.10624	4.00000
371	26	325	1.00000	2.25866	4.00000
372	26	325	1.00000	2.25866	4.00000
373	29	330	0.81281	2.22171	4.00000
374	73	2387	0.90830	1.95150	4.00000
375	79	2455	0.79682	1.92148	4.00000
376	4	6	1.00000	2.88222	4.00000
377	43	536	0.59358	2.07621	4.00000
378	42	430	0.49942	2.16397	4.00000
379	128	4348	0.53494	1.75751	4.00000
380	13	61	0.78205	2.33025	4.00000
381	29	176	0.43350	2.15242	4.00000
382	108	3506	0.60678	1.81986	4.00000
383	125	3984	0.51406	1.77829	4.00000
384	13	57	0.73077	2.36028	4.00000
385	184	6892	0.40936	1.60739	4.00000
386	106	2976	0.53477	1.84296	4.00000
387	13	57	0.73077	2.30947	4.00000
388	41	423	0.51585	2.08314	4.00000
389	23	101	0.39921	2.22864	4.00000
390	36	342	0.54286	2.12009	4.00000
391	101	2873	0.56891	1.85681	4.00000
392	80	2461	0.77880	1.93072	4.00000
393	43	791	0.87597	2.06928	4.00000
394	4	4	0.66667	2.91686	5.00000
395	20	172	0.90526	2.19169	4.00000
396	6	15	1.00000	2.61894	5.00000
397	142	4949	0.49436	1.71824	4.00000
398	16	78	0.65000	2.39261	4.00000
399	69	984	0.41944	2.00000	4.00000
400	91	1810	0.44200	1.87760	4.00000
401	3	1	0.33333	2.67436	5.00000
402	1	0	    NaN	4.01155	6.00000
403	4	6	1.00000	2.57506	5.00000
404	120	4053	0.56765	1.79215	4.00000
405	44	799	0.84461	2.07159	4.00000
406	56	721	0.46818	1.99076	4.00000
407	108	3696	0.63967	1.81986	4.00000
408	10	31	0.68889	2.51039	5.00000
409	35	534	0.89748	2.08776	4.00000
410	3	3	1.00000	2.75058	5.00000
411	10	26	0.57778	2.41339	4.00000
412	107	3443	0.60712	1.82679	4.00000
413	26	221	0.68000	2.22864	4.00000
414	78	1216	0.40493	1.93072	3.00000
415	49	869	0.73895	2.03464	4.00000
416	122	3670	0.49722	1.80370	4.00000
417	82	1608	0.48419	1.92379	4.00000
418	79	1145	0.37163	1.92148	4.00000
419	42	708	0.82230	2.04157	4.00000
420	2	1	1.00000	2.79446	5.00000
421	4	3	0.50000	2.66282	5.00000
422	114	3558	0.55240	1.80370	4.00000
423	45	592	0.59798	2.12702	4.00000
424	6	15	1.00000	2.77598	5.00000
425	29	187	0.46059	2.19630	5.00000
426	93	2806	0.65591	1.89145	4.00000
427	27	227	0.64672	2.23095	5.00000
428	7	16	0.76190	2.73672	5.00000
429	75	2365	0.85225	1.92610	4.00000
430	76	1152	0.40421	1.93533	3.00000
431	45	600	0.60606	2.07159	4.00000
432	12	30	0.45455	2.46189	5.00000
433	50	649	0.52980	2.11316	4.00000
