i	Degree	Interconnections	CC	APL	SS
0	353	62128	1.00000	1.82133	3.00000
1	368	63919	0.94656	1.81213	3.00000
2	262	24221	0.70840	1.87114	3.00000
3	549	100599	0.66876	1.70872	3.00000
4	537	91478	0.63563	1.71413	3.00000
5	455	78156	0.75670	1.76340	3.00000
6	375	63461	0.90497	1.80888	3.00000
7	463	81080	0.75809	1.75744	3.00000
8	605	106452	0.58263	1.67731	3.00000
9	421	67793	0.76680	1.78397	3.00000
10	437	72663	0.76274	1.77260	3.00000
11	442	79482	0.81553	1.76936	3.00000
12	373	62985	0.90785	1.80942	3.00000
13	420	69985	0.79537	1.78397	3.00000
14	492	84991	0.70365	1.74120	3.00000
15	607	106842	0.58091	1.67731	3.00000
16	487	81817	0.69137	1.74445	3.00000
17	98	4153	0.87376	1.99459	3.00000
18	549	92962	0.61799	1.70655	3.00000
19	139	6122	0.63831	1.95560	3.00000
20	214	22174	0.97293	1.90471	3.00000
21	411	41165	0.48858	1.78560	3.00000
22	664	118404	0.53792	1.64591	3.00000
23	14	91	1.00000	2.26042	4.00000
24	12	66	1.00000	2.38711	4.00000
25	344	54920	0.93091	1.82566	3.00000
26	54	584	0.40811	2.04602	3.00000
27	785	132872	0.43180	1.57823	3.00000
28	368	63919	0.94656	1.81213	3.00000
29	377	64220	0.90609	1.80671	3.00000
30	435	69695	0.73833	1.77369	3.00000
31	639	125773	0.61702	1.65999	3.00000
32	152	11476	1.00000	1.94640	3.00000
33	379	63955	0.89284	1.80509	3.00000
34	2	1	1.00000	2.78776	4.00000
35	628	114271	0.58042	1.66486	3.00000
36	679	138913	0.60349	1.63617	3.00000
37	137	8857	0.95073	1.94965	3.00000
38	134	8783	0.98564	1.95236	3.00000
39	452	67234	0.65964	1.76178	3.00000
40	524	77117	0.56279	1.72063	3.00000
41	54	1431	1.00000	2.07038	4.00000
42	241	18602	0.64322	1.88955	3.00000
43	382	65575	0.90111	1.80401	3.00000
44	204	15831	0.76456	1.91175	3.00000
45	160	7557	0.59410	1.93936	3.00000
46	120	5117	0.71667	1.98105	3.00000
47	99	4602	0.94867	2.00379	3.00000
48	136	5869	0.63932	1.96589	3.00000
49	101	4622	0.91525	2.00271	3.00000
50	400	66547	0.83392	1.79372	3.00000
51	319	30101	0.59346	1.83866	3.00000
52	217	10327	0.44065	1.89930	3.00000
53	120	5145	0.72059	1.96751	3.00000
54	557	89775	0.57977	1.70276	3.00000
55	111	4925	0.80672	1.98809	3.00000
56	369	34468	0.50766	1.80834	3.00000
57	97	3201	0.68750	2.00000	3.00000
58	104	4631	0.86464	1.99513	3.00000
59	135	5902	0.65252	1.96318	3.00000
60	226	15306	0.60201	1.89984	3.00000
61	269	20665	0.57330	1.87493	3.00000
62	296	22849	0.52334	1.85652	3.00000
63	117	4933	0.72694	1.98159	3.00000
64	564	67718	0.42653	1.70168	3.00000
65	464	51267	0.47728	1.75636	3.00000
66	684	131694	0.56379	1.63454	3.00000
67	230	12441	0.47241	1.89605	3.00000
68	552	89549	0.58884	1.70818	3.00000
69	148	6759	0.62135	1.94802	3.00000
70	436	69922	0.73734	1.77260	3.00000
71	230	12066	0.45817	1.89442	3.00000
72	564	94239	0.59357	1.69897	3.00000
73	533	84246	0.59421	1.71684	3.00000
74	684	131694	0.56379	1.63454	3.00000
75	656	109954	0.51179	1.64970	3.00000
76	684	116753	0.49983	1.63184	3.00000
77	233	16195	0.59919	1.89172	3.00000
78	766	135601	0.46281	1.58852	3.00000
79	779	153516	0.50660	1.57986	3.00000
80	136	5888	0.64139	1.97185	3.00000
81	263	17681	0.51319	1.87385	3.00000
82	674	115079	0.50740	1.64050	3.00000
83	234	15737	0.57727	1.88684	3.00000
84	105	4659	0.85330	1.98430	3.00000
85	202	11856	0.58401	1.90417	3.00000
86	201	11888	0.59144	1.90471	3.00000
87	251	12110	0.38598	1.88251	3.00000
88	773	132918	0.44547	1.58419	3.00000
89	401	40683	0.50727	1.78885	3.00000
90	436	63790	0.67268	1.77152	3.00000
91	264	13916	0.40085	1.87168	3.00000
92	556	84915	0.55036	1.70384	3.00000
93	522	76406	0.56189	1.72388	3.00000
94	159	7408	0.58976	1.94207	3.00000
95	382	36999	0.50843	1.79968	3.00000
96	101	4572	0.90535	1.99621	3.00000
97	466	44709	0.41265	1.75203	3.00000
98	751	149803	0.53192	1.59610	3.00000
99	507	72357	0.56409	1.73091	3.00000
100	447	64769	0.64976	1.76448	3.00000
101	316	22046	0.44296	1.84028	3.00000
102	369	35726	0.52619	1.80726	3.00000
103	412	41970	0.49571	1.78614	3.00000
104	211	12171	0.54936	1.89930	3.00000
105	673	111753	0.49420	1.63996	3.00000
106	562	93824	0.59518	1.70060	3.00000
107	713	135673	0.53451	1.61884	3.00000
108	412	61990	0.73217	1.78452	3.00000
109	586	95930	0.55967	1.68868	3.00000
110	809	150273	0.45978	1.56470	3.00000
111	108	4691	0.81187	1.99567	3.00000
112	317	26129	0.52168	1.84082	3.00000
113	312	19743	0.40694	1.84894	3.00000
114	537	56644	0.39359	1.71684	3.00000
115	424	32856	0.36639	1.77694	3.00000
116	241	15786	0.54585	1.88847	3.00000
117	215	9697	0.42152	1.89875	3.00000
118	155	6158	0.51596	1.94640	3.00000
119	593	67582	0.38502	1.68273	3.00000
120	787	129921	0.42006	1.57661	3.00000
121	321	25596	0.49836	1.83920	3.00000
122	737	126987	0.46821	1.60314	3.00000
123	719	134504	0.52109	1.61559	3.00000
124	430	39119	0.42412	1.77639	3.00000
125	442	41752	0.42840	1.77044	3.00000
126	598	91641	0.51339	1.68165	3.00000
127	357	28548	0.44925	1.81917	3.00000
128	112	4821	0.77558	1.99404	3.00000
129	628	92754	0.47112	1.66540	3.00000
130	578	81913	0.49122	1.69356	3.00000
131	225	16512	0.65524	1.89659	3.00000
132	390	59323	0.78206	1.79913	3.00000
133	255	17032	0.52592	1.87602	3.00000
134	102	3531	0.68550	1.98430	4.00000
135	403	41694	0.51472	1.79101	3.00000
136	456	71728	0.69142	1.76015	3.00000
137	473	69041	0.61849	1.75365	3.00000
138	764	149171	0.51180	1.58960	3.00000
139	387	41630	0.55736	1.79913	3.00000
140	448	63456	0.63375	1.76502	3.00000
141	2	1	1.00000	2.86844	4.00000
142	256	19087	0.58477	1.87926	3.00000
143	155	11935	1.00000	1.95019	3.00000
144	217	15618	0.66641	1.90904	3.00000
145	272	23306	0.63235	1.86356	3.00000
146	616	108428	0.57242	1.67352	3.00000
147	484	81033	0.69327	1.74553	3.00000
148	494	83946	0.68938	1.73958	3.00000
149	634	111027	0.55331	1.66215	3.00000
150	638	109554	0.53914	1.66053	3.00000
151	110	4276	0.71326	1.99188	4.00000
152	590	101161	0.58220	1.68598	3.00000
153	501	86913	0.69392	1.73525	3.00000
154	525	88428	0.64288	1.72279	3.00000
155	282	24820	0.62644	1.86248	3.00000
156	81	1998	0.61667	2.00271	3.00000
157	445	69852	0.70708	1.76936	3.00000
158	170	6400	0.44553	1.92691	3.00000
159	164	6638	0.49663	1.93611	3.00000
160	424	67686	0.75478	1.77964	3.00000
161	60	952	0.53785	2.04656	3.00000
162	708	115744	0.46246	1.62047	3.00000
163	195	8462	0.44737	1.91229	3.00000
164	113	4532	0.71618	1.97888	3.00000
165	103	2450	0.46640	1.97564	3.00000
166	285	27691	0.68424	1.85815	3.00000
167	208	18620	0.86492	1.90904	3.00000
168	30	435	1.00000	2.16513	3.00000
169	118	4631	0.67087	1.97780	3.00000
170	178	12936	0.82118	1.93449	3.00000
171	70	1369	0.56687	2.03194	3.00000
172	37	666	1.00000	2.11316	3.00000
173	55	914	0.61549	2.06822	3.00000
174	598	103845	0.58175	1.68165	3.00000
175	42	724	0.84088	2.09800	3.00000
176	35	468	0.78655	2.10449	3.00000
177	519	60927	0.45326	1.72875	3.00000
178	433	61421	0.65671	1.77423	3.00000
179	72	1485	0.58099	2.01354	3.00000
180	230	14910	0.56617	1.89551	3.00000
181	397	44108	0.56113	1.79372	3.00000
182	112	3013	0.48472	1.97509	3.00000
183	613	100409	0.53529	1.67515	3.00000
184	421	39125	0.44254	1.77802	3.00000
185	457	47641	0.45722	1.76123	3.00000
186	232	18487	0.68992	1.89226	3.00000
187	141	5009	0.50750	1.95181	3.00000
188	530	83157	0.59319	1.71955	3.00000
189	400	59254	0.74253	1.79264	3.00000
190	224	13372	0.53539	1.90146	3.00000
191	441	65716	0.67734	1.77098	3.00000
192	403	49976	0.61696	1.79480	3.00000
193	712	136268	0.53836	1.61884	3.00000
194	574	102693	0.62446	1.69518	3.00000
195	694	105456	0.43854	1.62750	3.00000
196	644	126187	0.60946	1.65674	3.00000
197	149	3758	0.34083	1.94261	3.00000
198	32	496	1.00000	2.09475	3.00000
199	50	717	0.58531	2.04440	3.00000
200	357	55686	0.87631	1.81808	3.00000
201	327	32042	0.60115	1.83378	3.00000
202	143	7139	0.70314	1.95506	3.00000
203	151	5094	0.44980	1.94044	3.00000
204	100	2209	0.44626	1.97997	3.00000
205	108	2806	0.48564	1.97293	3.00000
206	165	9885	0.73060	1.93124	3.00000
207	453	46850	0.45762	1.76123	3.00000
208	783	151805	0.49585	1.57878	3.00000
209	144	6408	0.62238	1.94802	3.00000
210	158	6006	0.48424	1.93611	3.00000
211	685	119946	0.51200	1.63238	3.00000
212	132	4235	0.48982	1.95994	3.00000
213	77	1626	0.55571	2.00650	3.00000
214	411	36426	0.43233	1.78722	3.00000
215	321	26089	0.50796	1.83703	3.00000
216	331	21955	0.40200	1.82999	3.00000
217	843	159678	0.44992	1.54792	3.00000
218	349	32431	0.53405	1.81862	3.00000
219	702	122193	0.49662	1.62317	3.00000
220	140	5952	0.61172	1.95994	3.00000
221	319	30623	0.60375	1.83920	3.00000
222	69	1729	0.73700	2.03573	3.00000
223	134	5739	0.64404	1.96751	3.00000
224	48	856	0.75887	2.06064	3.00000
225	41	460	0.56098	2.11207	3.00000
226	91	3195	0.78022	1.99459	3.00000
227	284	27242	0.67790	1.85923	3.00000
228	125	6311	0.81432	1.95290	3.00000
229	565	89962	0.56463	1.69951	3.00000
230	114	6441	1.00000	1.98646	3.00000
231	315	32246	0.65203	1.84515	3.00000
232	333	34152	0.61782	1.83378	3.00000
233	406	40787	0.49610	1.78776	3.00000
234	490	57973	0.48389	1.74445	3.00000
235	204	13238	0.63933	1.91879	3.00000
236	281	20934	0.53213	1.86031	3.00000
237	303	26058	0.56954	1.85436	3.00000
238	146	7537	0.71205	1.95615	3.00000
239	278	20054	0.52084	1.87060	3.00000
240	232	14537	0.54251	1.89984	3.00000
241	324	20710	0.39579	1.83974	3.00000
242	352	55447	0.89755	1.82187	3.00000
243	213	19094	0.84569	1.90688	3.00000
244	128	3484	0.42864	1.95290	3.00000
245	45	528	0.53333	2.06226	3.00000
246	218	13984	0.59121	1.90038	3.00000
247	321	29778	0.57979	1.83487	3.00000
248	343	32904	0.56099	1.82133	3.00000
249	64	1325	0.65724	2.02274	3.00000
250	241	17884	0.61840	1.88468	3.00000
251	175	8029	0.52736	1.92691	3.00000
252	205	9171	0.43859	1.89984	3.00000
253	196	13308	0.69639	1.91554	3.00000
254	423	67961	0.76144	1.78127	3.00000
255	82	3321	1.00000	2.02166	3.00000
256	274	27003	0.72199	1.86519	3.00000
257	549	91196	0.60625	1.70763	3.00000
258	170	7917	0.55113	1.93232	3.00000
259	123	4717	0.62868	1.96535	3.00000
260	268	23061	0.64456	1.87168	3.00000
261	209	10719	0.49315	1.90796	3.00000
262	91	3418	0.83468	2.00325	3.00000
263	147	5436	0.50657	1.95398	3.00000
264	483	73234	0.62914	1.74553	3.00000
265	342	54668	0.93752	1.82675	3.00000
266	415	63576	0.74007	1.78560	3.00000
267	375	57398	0.81851	1.80726	3.00000
268	563	92525	0.58485	1.70276	3.00000
269	352	55506	0.89850	1.82079	3.00000
270	617	123877	0.65186	1.67190	3.00000
271	392	59299	0.77377	1.79859	3.00000
272	510	85267	0.65694	1.72929	3.00000
273	715	145646	0.57059	1.61559	3.00000
274	644	126296	0.60999	1.65728	3.00000
275	617	123877	0.65186	1.67190	3.00000
276	388	58261	0.77601	1.79697	3.00000
277	619	123805	0.64728	1.67082	3.00000
278	352	55269	0.89467	1.82079	3.00000
279	626	124835	0.63813	1.66703	3.00000
280	346	54977	0.92112	1.82404	3.00000
281	778	151211	0.50028	1.58094	3.00000
282	771	152090	0.51237	1.58527	3.00000
283	442	67416	0.69172	1.76881	3.00000
284	367	58270	0.86762	1.81267	3.00000
285	737	147729	0.54469	1.60368	3.00000
286	619	123805	0.64728	1.67082	3.00000
287	824	164953	0.48648	1.55658	3.00000
288	619	123805	0.64728	1.67082	3.00000
289	511	85284	0.65450	1.72875	3.00000
290	343	54701	0.93262	1.82675	3.00000
291	382	58198	0.79974	1.80238	3.00000
292	453	72163	0.70487	1.76178	3.00000
293	610	99135	0.53372	1.67352	3.00000
294	479	71926	0.62828	1.74878	3.00000
295	820	138985	0.41390	1.55983	3.00000
296	619	104656	0.54716	1.67028	3.00000
297	637	125126	0.61770	1.66107	3.00000
298	363	56320	0.85719	1.81483	3.00000
299	799	156550	0.49106	1.57066	3.00000
300	441	67212	0.69276	1.76773	3.00000
301	330	54285	1.00000	1.83378	3.00000
302	494	78456	0.64429	1.73958	3.00000
303	414	59871	0.70032	1.78614	3.00000
